First name,Last name,Email,Phone (US),Gender,Birthdate (MM/DD/YYYY),Address,City,State,ZIP Code,Note,Processed by automatic migration?,Last automatic migration error
Anthony,Nelson,Anthony.Nelson+101819@example.com,44239727444,,05/01/1964,,,,,,No,
Ashley,Miller,Ashley.Miller+952647@example.com,,,02/01/1988,,,,,,No,
Ashley,Parker,Ashley.Parker+836130@example.com,,,01/15/1985,,,,,Allergic to lidocaine,No,
Ashley,Thomas,Ashley.Thomas+824707@example.com,84812801795,,05/28/1975,,,,,Referred by friend,No,
Ashley,Walker,Ashley.Walker+285423@example.com,11928545647,,05/08/2000,,,,,Interested in membership,No,
Ashley,Wilson,Ashley.Wilson+534024@example.com,,,02/11/1960,,,,,Prefers Dr. Smith,No,
Barbara,Jackson,Barbara.Jackson+749738@example.com,29078479520,,05/21/1963,,,,,Referred by friend,No,
Barbara,Walker,Barbara.Walker+395396@example.com,,,12/18/1969,,,,,Allergic to lidocaine,No,
Betty,Carter,Betty.Carter+114150@example.com,,,11/12/1960,,,,,Previous botox at competitor,No,
Betty,Collins,Betty.Collins+716486@example.com,95434311710,,07/23/1979,,,,,Referred by friend,No,
Betty,Lopez,Betty.Lopez+655208@example.com,61028399497,,01/08/1970,,,,,Sensitive skin,No,
Betty,Phillips,Betty.Phillips+610165@example.com,43188676526,,10/21/1995,,,,,Referred by friend,No,
Betty,Roberts,Betty.Roberts+726629@example.com,,,05/06/1982,,,,,Allergic to lidocaine,No,
Betty,White,Betty.White+751358@example.com,,,06/06/1982,,,,,Sensitive skin,No,
Betty,Wilson,Betty.Wilson+913694@example.com,,,07/02/1978,,,,,Needs consultation first,No,
Brian,Allen,Brian.Allen+726878@example.com,15169685068,,02/10/1962,,,,,Cancelled last appointment,No,
Brian,Davis,Brian.Davis+322735@example.com,25264191124,,01/25/1983,,,,,Interested in membership,No,
Brian,Hall,Brian.Hall+228582@example.com,84359951407,,07/20/1960,,,,,Allergic to lidocaine,No,
Brian,Hill,Brian.Hill+720851@example.com,96235244800,,03/16/1975,,,,,Interested in facial treatments,No,
Brian,White,Brian.White+750068@example.com,,,12/20/1964,,,,,New client - referred by Dr. Johnson,No,
Carol,Evans,Carol.Evans+536697@example.com,24465211789,,11/24/1981,,,,,Allergic to lidocaine,No,
Carol,Hernandez,Carol.Hernandez+358957@example.com,65185943362,,10/04/1966,,,,,First-time client,No,
Carol,Moore,Carol.Moore+310349@example.com,,,01/18/1962,,,,,Cancelled last appointment,No,
Carol,Rogers,Carol.Rogers+846743@example.com,,,08/26/1973,,,,,Prefers Dr. Smith,No,
Charles,Hill,Charles.Hill+266505@example.com,24341964163,,10/27/1997,,,,,Interested in membership,No,
Charles,Williams,Charles.Williams+648635@example.com,68224583202,,05/21/1964,,,,,Reschedule required,No,
Charles,Wilson,Charles.Wilson+298248@example.com,88479269518,,10/14/1998,,,,,First-time client,No,
Christopher,Harris,Christopher.Harris+200305@example.com,91622906840,,11/10/1968,,,,,Reschedule required,No,
Christopher,Martin,Christopher.Martin+973758@example.com,74054219105,,05/06/1978,,,,,Previous botox at competitor,No,
Christopher,Perez,Christopher.Perez+465204@example.com,,,08/18/1967,,,,,Prefers afternoon appointments,No,
Christopher,Rodriguez,Christopher.Rodriguez+163190@example.com,73486606872,,05/03/1993,,,,,New client - referred by Dr. Johnson,No,
Christopher,Rogers,Christopher.Rogers+492431@example.com,35449646269,,06/10/1980,,,,,Gift card recipient,No,
Christopher,Taylor,Christopher.Taylor+880701@example.com,76012198344,,01/18/1997,,,,,Prefers Dr. Smith,No,
Daniel,Adams,Daniel.Adams+317029@example.com,62932983670,,09/11/1994,,,,,Referred by friend,No,
Daniel,Campbell,Daniel.Campbell+616930@example.com,87199393031,,02/05/1982,,,,,Needs consultation first,No,
Daniel,Clark,Daniel.Clark+315306@example.com,62655419907,,06/01/1996,,,,,First-time client,No,
Daniel,Jones,Daniel.Jones+990645@example.com,65633033314,,08/27/1962,,,,,Sensitive skin,No,
Daniel,Miller,Daniel.Miller+267018@example.com,86057089104,,04/23/1996,,,,,Gift card recipient,No,
Daniel,Roberts,Daniel.Roberts+761262@example.com,,,08/08/1976,,,,,VIP client,No,
David,Scott,David.Scott+302808@example.com,,,07/09/1970,,,,,Cancelled last appointment,No,
David,Wright,David.Wright+442972@example.com,73798474543,,02/18/1974,,,,,Prefers Dr. Smith,No,
Deborah,Baker,Deborah.Baker+605920@example.com,,,06/16/1991,,,,,VIP client,No,
Deborah,Davis,Deborah.Davis+737675@example.com,78571269579,,08/21/1980,,,,,Needs consultation first,No,
Deborah,Garcia,Deborah.Garcia+977757@example.com,,,10/25/1963,,,,,Sensitive skin,No,
Deborah,Hall,Deborah.Hall+213770@example.com,41443673884,,01/13/1972,,,,,Previous botox at competitor,No,
Deborah,Jones,Deborah.Jones+332074@example.com,77306545981,,06/09/1968,,,,,,No,
Donald,Harris,Donald.Harris+885290@example.com,53577627421,,06/27/1963,,,,,First-time client,No,
Donald,Lee,Donald.Lee+960618@example.com,86975613330,,07/17/1968,,,,,Cancelled last appointment,No,
Donald,Scott,Donald.Scott+991218@example.com,63554486627,,12/03/1976,,,,,New client - referred by Dr. Johnson,No,
Donald,Wright,Donald.Wright+868646@example.com,25055406680,,05/13/1970,,,,,,No,
Donna,Hall,Donna.Hall+542199@example.com,,,04/03/1985,,,,,Interested in facial treatments,No,
Donna,Moore,Donna.Moore+819619@example.com,96764392444,,06/18/1968,,,,,Cancelled last appointment,No,
Donna,Reed,Donna.Reed+578744@example.com,74152053020,,09/06/1989,,,,,Referred by friend,No,
Donna,Scott,Donna.Scott+658848@example.com,,,08/27/1961,,,,,Allergic to lidocaine,No,
Donna,White,Donna.White+546094@example.com,,,02/06/1970,,,,,Sensitive skin,No,
Dorothy,Garcia,Dorothy.Garcia+866658@example.com,97222266244,,09/19/1988,,,,,VIP client,No,
Dorothy,Roberts,Dorothy.Roberts+346298@example.com,24593651115,,07/21/1975,,,,,Interested in facial treatments,No,
Dorothy,Rogers,Dorothy.Rogers+398635@example.com,78505769890,,03/21/1974,,,,,Needs consultation first,No,
Edward,Clark,Edward.Clark+916794@example.com,95713265160,,11/11/1986,,,,,Allergic to lidocaine,No,
Edward,Evans,Edward.Evans+245132@example.com,82035785195,,09/03/1967,,,,,First-time client,No,
Edward,Gonzalez,Edward.Gonzalez+853781@example.com,51714938520,,02/15/1995,,,,,Gift card recipient,No,
Edward,Jackson,Edward.Jackson+323898@example.com,23325101627,,09/17/1966,,,,,Prefers Dr. Smith,No,
Edward,Parker,Edward.Parker+529993@example.com,17246123803,,08/07/1969,,,,,Allergic to lidocaine,No,
Edward,Reed,Edward.Reed+142952@example.com,56797317511,,03/19/1978,,,,,Reschedule required,No,
Edward,Robinson,Edward.Robinson+394999@example.com,,,10/08/1998,,,,,Interested in facial treatments,No,
Edward,White,Edward.White+444301@example.com,35429053054,,01/20/1970,,,,,New client - referred by Dr. Johnson,No,
Elizabeth,Nelson,Elizabeth.Nelson+299503@example.com,53279481468,,05/25/1982,,,,,New client - referred by Dr. Johnson,No,
Elizabeth,Roberts,Elizabeth.Roberts+581916@example.com,,,04/21/1987,,,,,Sensitive skin,No,
Elizabeth,Walker,Elizabeth.Walker+632214@example.com,94915554431,,01/07/1995,,,,,Gift card recipient,No,
Elizabeth,Wright,Elizabeth.Wright+887210@example.com,,,08/25/1993,,,,,,No,
Emily,Lewis,Emily.Lewis+933849@example.com,64165054421,,06/25/1991,,,,,New client - referred by Dr. Johnson,No,
Emily,Lopez,Emily.Lopez+958878@example.com,32606923031,,12/02/1984,,,,,First-time client,No,
Emily,Martin,Emily.Martin+758149@example.com,65877686770,,08/06/2000,,,,,Interested in membership,No,
Emily,Mitchell,Emily.Mitchell+131537@example.com,49687682993,,08/05/1988,,,,,Interested in facial treatments,No,
Emily,Young,Emily.Young+511621@example.com,42376542016,,01/06/1989,,,,,Interested in membership,No,
George,Anderson,George.Anderson+266170@example.com,61239094171,,10/28/1963,,,,,Previous botox at competitor,No,
George,Sanchez,George.Sanchez+543045@example.com,,,09/21/1967,,,,,Prefers afternoon appointments,No,
James,Lee,James.Lee+201829@example.com,,,05/15/1968,,,,,Needs consultation first,No,
James,Morris,James.Morris+985149@example.com,54556796532,,03/06/1971,,,,,Gift card recipient,No,
Jason,Allen,Jason.Allen+941229@example.com,,,02/19/1965,,,,,Allergic to lidocaine,No,
Jason,Evans,Jason.Evans+392907@example.com,37619375564,,12/22/1969,,,,,,No,
Jason,Green,Jason.Green+300564@example.com,46019988716,,06/20/1979,,,,,New client - referred by Dr. Johnson,No,
Jason,Miller,Jason.Miller+831490@example.com,54642284074,,11/17/1961,,,,,Prefers Dr. Smith,No,
Jennifer,Anderson,Jennifer.Anderson+296121@example.com,78442755303,,04/06/1978,,,,,Gift card recipient,No,
Jennifer,Green,Jennifer.Green+137800@example.com,53541795516,,04/05/1978,,,,,Interested in facial treatments,No,
Jessica,Johnson,Jessica.Johnson+295059@example.com,77549756388,,03/10/1976,,,,,Interested in membership,No,
Jessica,Lopez,Jessica.Lopez+872126@example.com,29292755346,,10/27/1974,,,,,Prefers Dr. Smith,No,
Jessica,Williams,Jessica.Williams+632487@example.com,82014823261,,01/01/1989,,,,,First-time client,No,
John,Garcia,John.Garcia+741763@example.com,81272193928,,11/12/1983,,,,,Needs consultation first,No,
John,Lopez,John.Lopez+546425@example.com,27172351311,,02/15/1983,,,,,Cancelled last appointment,No,
John,Martin,John.Martin+656792@example.com,36638733130,,09/19/1964,,,,,Prefers afternoon appointments,No,
John,Wilson,John.Wilson+384463@example.com,82952901842,,02/07/1997,,,,,Prefers afternoon appointments,No,
Joseph,Green,Joseph.Green+467849@example.com,,,09/04/2000,,,,,Interested in facial treatments,No,
Joseph,Taylor,Joseph.Taylor+940490@example.com,54517099945,,10/13/1993,,,,,Reschedule required,No,
Joseph,Wilson,Joseph.Wilson+240571@example.com,46176619349,,09/13/1982,,,,,Prefers afternoon appointments,No,
Joshua,Edwards,Joshua.Edwards+626729@example.com,,,04/09/1973,,,,,Gift card recipient,No,
Joshua,Garcia,Joshua.Garcia+703201@example.com,95049567716,,03/14/1973,,,,,Gift card recipient,No,
Joshua,Jackson,Joshua.Jackson+244091@example.com,,,05/14/1994,,,,,VIP client,No,
Joshua,Smith,Joshua.Smith+611441@example.com,26636379041,,10/26/1961,,,,,First-time client,No,
Karen,Clark,Karen.Clark+334550@example.com,,,03/06/1969,,,,,Cancelled last appointment,No,
Karen,Walker,Karen.Walker+112303@example.com,16373122674,,07/11/1964,,,,,Interested in membership,No,
Kenneth,Allen,Kenneth.Allen+947396@example.com,,,05/07/1982,,,,,First-time client,No,
Kenneth,Clark,Kenneth.Clark+978004@example.com,93734775390,,02/26/1990,,,,,Interested in membership,No,
Kenneth,Lopez,Kenneth.Lopez+608380@example.com,26902204493,,04/13/1981,,,,,Reschedule required,No,
Kevin,Allen,Kevin.Allen+981678@example.com,,,12/20/1998,,,,,Gift card recipient,No,
Kevin,Anderson,Kevin.Anderson+292347@example.com,,,04/28/1997,,,,,Prefers Dr. Smith,No,
Kevin,Evans,Kevin.Evans+934449@example.com,98515105139,,01/21/1982,,,,,Reschedule required,No,
Kevin,Lopez,Kevin.Lopez+954048@example.com,,,06/17/1974,,,,,Needs consultation first,No,
Kevin,Parker,Kevin.Parker+746325@example.com,99947194347,,12/06/1960,,,,,Allergic to lidocaine,No,
Kevin,Perez,Kevin.Perez+356314@example.com,36575007575,,10/14/1961,,,,,Previous botox at competitor,No,
Kimberly,Thomas,Kimberly.Thomas+950918@example.com,,,05/22/1996,,,,,Needs consultation first,No,
Linda,Campbell,Linda.Campbell+604723@example.com,,,02/26/1973,,,,,Gift card recipient,No,
Linda,Reed,Linda.Reed+887480@example.com,23792685285,,09/07/1970,,,,,New client - referred by Dr. Johnson,No,
Linda,White,Linda.White+617913@example.com,61628031564,,09/15/1962,,,,,,No,
Linda,Young,Linda.Young+545166@example.com,99718482684,,06/18/1965,,,,,Referred by friend,No,
Lisa,Lee,Lisa.Lee+751446@example.com,44766849890,,09/14/1999,,,,,,No,
Lisa,Reed,Lisa.Reed+430393@example.com,,,10/12/1997,,,,,Prefers Dr. Smith,No,
Lisa,Turner,Lisa.Turner+640640@example.com,,,12/02/1963,,,,,Interested in facial treatments,No,
Morris,Deborah,MISSING,21202191104,,12/24/1988,"343 Cedar Ln, Apt. 437",Manchester,SC,97721,,No,
Sanchez,Emily,MISSING,48132381141,,09/05/1983,"4212 Forest Ave, Apt. 217",Springfield,SC,13307,,No,
Evans,Andrew,MISSING,91206159888,,10/27/1977,"7590 Main St, Apt. 226",Burlington,LA,18324,,No,
Daniel,Adams,MISSING,85751083256,,06/21/1976,3188 Pine St,Bristol,IA,92111,,No,
Emily,Smith,MISSING,65564368017,,01/19/1966,1516 Highland Ave,Dover,OH,78176,,No,
Carol,Williams,MISSING,77803045969,,08/08/1970,8502 Valley Rd,Clinton,MN,65114,,No,
Reed,George,MISSING,95381773648,,07/18/1961,5253 Highland Ave,Ashland,NH,73864,,No,
George,Green,MISSING,,,04/09/1979,1023 River Rd,Oxford,NM,83404,,No,
Hall,Amanda,MISSING,95954031344,,05/11/1979,"7029 Forest Ave, Apt. 5",Centerville,WA,35662,,No,
Kimberly,Thomas,MISSING,39309938496,,07/13/2000,"9311 Forest Ave, Apt. 872",Georgetown,IA,69924,,No,
Thomas,Kimberly,MISSING,93209414690,,12/24/1991,"8735 Valley Rd, Apt. 823",Greenville,NV,96326,,No,
Walker,Brian,MISSING,,,03/09/1963,2107 Elm Rd,Arlington,ID,27025,,No,
Brown,James,MISSING,83058911922,,07/04/1987,5476 Spring St,Lexington,LA,88130,,No,
Betty,Walker,MISSING,36858971245,,12/02/1989,9526 Meadow Ln,Franklin,AK,37656,,No,
Betty,Thompson,MISSING,49411112006,,09/24/1996,954 Pine St,Burlington,NJ,56266,,No,
Perez,Michael,MISSING,,,11/04/1977,7917 Highland Ave,Springfield,FL,39102,,No,
Ashley,Hernandez,MISSING,,,12/16/1993,"5340 Oak Ave, Apt. 242",Bristol,FL,72594,,No,
Joshua,Thompson,MISSING,,,07/10/1962,"8849 Highland Ave, Apt. 907",Burlington,MT,70385,,No,
Green,Deborah,MISSING,36744149778,,07/27/1971,4765 Valley Rd,Lexington,OH,78548,,No,
Barbara,Edwards,MISSING,82109449008,,10/25/1996,9674 Hill St,Manchester,WY,34514,,No,
Patricia,Sanchez,MISSING,33815395258,,11/06/1964,8453 Sunset Blvd,Springfield,MN,90057,,No,
David,Williams,MISSING,36321122149,,10/24/1975,4976 Hill St,Lebanon,OH,72298,,No,
Scott,Joshua,MISSING,36458591873,,09/03/1961,"1105 South Rd, Apt. 912",Lexington,UT,47392,,No,
Allen,Joshua,MISSING,17101341241,,04/10/1997,9713 North St,Georgetown,AZ,27017,,No,
Thomas,Ashley,MISSING,,,11/07/1981,1208 Lake View Dr,Clinton,AK,15228,,No,
Perez,Emily,MISSING,11711803106,,04/23/1974,4975 Forest Ave,Milton,KY,92684,,No,
Hill,Karen,MISSING,,,05/10/1982,"7790 Lake View Dr, Apt. 329",Greenville,NY,95749,,No,
Michael,Harris,MISSING,,,03/01/1996,"5718 Sunset Blvd, Apt. 408",Ashland,MI,61416,,No,
Walker,Edward,MISSING,75387694641,,03/26/1979,"2845 Washington Ave, Apt. 606",Madison,WV,52533,,No,
Sanchez,John,MISSING,,,08/05/1978,6647 Hill St,Burlington,OK,47826,,No,
Andrew,Lee,MISSING,,,11/11/1975,"9164 Lake View Dr, Apt. 696",Newport,PA,10303,,No,
Stewart,Sharon,MISSING,,,11/06/1987,"1517 Main St, Apt. 415",Bristol,OK,96963,,No,
Moore,Richard,MISSING,,,05/05/1973,5469 Elm Rd,Greenville,WY,31663,,No,
Davis,Mark,MISSING,31098899352,,06/09/1999,7860 Lake View Dr,Greenville,IL,42936,,No,
Thomas,Clark,MISSING,,,02/24/1981,1692 Oak Ave,Lexington,AK,53513,,No,
Garcia,Lisa,MISSING,79333875731,,11/03/2000,"7930 Hill St, Apt. 46",Burlington,FL,32221,,No,
Cook,Sandra,MISSING,,,08/13/1970,"3065 Meadow Ln, Apt. 879",Riverside,LA,55281,,No,
Brown,George,MISSING,,,06/26/1987,2487 Pine St,Fairview,WI,51456,,No,
Timothy,Cook,MISSING,39917056132,,10/07/1965,1337 Lake View Dr,Newport,CT,25842,,No,
Scott,Elizabeth,MISSING,31275093162,,12/08/1993,1987 Lake View Dr,Kingston,AR,73090,,No,
John,Miller,MISSING,51847128472,,04/14/1994,8039 Church St,Kingston,SD,50714,,No,
James,Sanchez,MISSING,28915356118,,08/03/1969,5119 Oak Ave,Springfield,NH,88245,,No,
Thomas,Morris,MISSING,38429868449,,09/08/1985,8541 Sunset Blvd,Dayton,ME,69753,,No,
Michael,Martin,MISSING,,,11/02/1994,4245 South Rd,Fairview,RI,58881,,No,
Carol,Garcia,MISSING,45528599946,,12/24/1974,5496 North St,Salem,AL,53827,,No,
Kimberly,Allen,MISSING,53446479494,,03/08/1979,"7155 Elm Rd, Apt. 306",Jamestown,CO,11809,,No,
Gonzalez,Steven,MISSING,91409874197,,11/13/1975,3997 Valley Rd,Burlington,CA,15533,,No,
Joseph,Harris,MISSING,,,06/06/1960,260 Spring St,Salem,MT,60985,,No,
Carter,Donald,MISSING,27605044519,,03/10/1968,3151 Elm Rd,Clayton,MS,94316,,No,
Sandra,Morris,MISSING,71344033057,,12/08/1985,"8080 Meadow Ln, Apt. 640",Burlington,TN,78750,,No,
Margaret,Taylor,Margaret.Taylor+619618@example.com,58011324960,,03/24/1988,,,,,VIP client,No,
Margaret,Taylor,Margaret.Taylor+979986@example.com,12437758037,,12/26/1966,,,,,Interested in facial treatments,No,
Mark,Johnson,Mark.Johnson+690028@example.com,19476501291,,10/17/1989,,,,,Needs consultation first,No,
Mark,Moore,Mark.Moore+968470@example.com,39762604459,,08/01/1998,,,,,New client - referred by Dr. Johnson,No,
Mark,Morris,Mark.Morris+299434@example.com,75342669183,,03/21/1992,,,,,Interested in membership,No,
Mark,Reed,Mark.Reed+759344@example.com,99689551548,,05/12/1977,,,,,New client - referred by Dr. Johnson,No,
Mark,Sanchez,Mark.Sanchez+411414@example.com,55102743828,,01/13/1989,,,,,Reschedule required,No,
Mark,Thompson,Mark.Thompson+822492@example.com,,,06/18/1983,,,,,,No,
Mark,Walker,Mark.Walker+785149@example.com,,,04/22/1966,,,,,Cancelled last appointment,No,
Mary,Harris,Mary.Harris+438396@example.com,64699536353,,04/18/1987,,,,,Allergic to lidocaine,No,
Mary,King,Mary.King+130361@example.com,93947036228,,07/08/1966,,,,,Referred by friend,No,
Mary,Robinson,Mary.Robinson+320409@example.com,,,12/05/1981,,,,,Prefers Dr. Smith,No,
Mary,Sanchez,Mary.Sanchez+509198@example.com,93347759550,,12/01/1998,,,,,Cancelled last appointment,No,
Matthew,Allen,Matthew.Allen+507127@example.com,19637506931,,09/07/1982,,,,,Cancelled last appointment,No,
Matthew,Johnson,Matthew.Johnson+704202@example.com,71388745790,,09/04/1982,,,,,Reschedule required,No,
Matthew,Jones,Matthew.Jones+446722@example.com,,,04/13/1995,,,,,Needs consultation first,No,
Matthew,Perez,Matthew.Perez+204489@example.com,39871854594,,04/26/1975,,,,,Interested in facial treatments,No,
Matthew,Thompson,Matthew.Thompson+527916@example.com,61687892845,,06/12/1990,,,,,Needs consultation first,No,
Matthew,Turner,Matthew.Turner+977318@example.com,12757531044,,03/17/1980,,,,,Prefers afternoon appointments,No,
Melissa,Evans,Melissa.Evans+837497@example.com,61517217395,,03/28/1993,,,,,Previous botox at competitor,No,
Melissa,King,Melissa.King+835567@example.com,86488768330,,03/28/1979,,,,,Prefers Dr. Smith,No,
Melissa,Perez,Melissa.Perez+371733@example.com,26699738208,,08/15/1968,,,,,Allergic to lidocaine,No,
Melissa,Sanchez,Melissa.Sanchez+454846@example.com,75735905628,,04/16/1962,,,,,Reschedule required,No,
Michael,Jones,Michael.Jones+268144@example.com,73432908899,,11/17/1968,,,,,,No,
Michael,Moore,Michael.Moore+847295@example.com,23409027545,,08/23/1964,,,,,Reschedule required,No,
Michael,Sanchez,Michael.Sanchez+895930@example.com,94794698821,,07/07/1998,,,,,Interested in membership,No,
Michelle,Cook,Michelle.Cook+690777@example.com,,,12/15/1961,,,,,Cancelled last appointment,No,
Michelle,Evans,Michelle.Evans+372017@example.com,,,01/03/1975,,,,,Cancelled last appointment,No,
Michelle,Mitchell,Michelle.Mitchell+191799@example.com,,,06/09/1999,,,,,Reschedule required,No,
Michelle,Morris,Michelle.Morris+447437@example.com,28958526453,,11/09/1968,,,,,Referred by friend,No,
Michelle,Morris,Michelle.Morris+471463@example.com,17402368946,,03/24/1971,,,,,Reschedule required,No,
Michelle,Parker,Michelle.Parker+206697@example.com,49162864008,,07/04/1990,,,,,First-time client,No,
Michelle,Stewart,Michelle.Stewart+176503@example.com,47627896700,,07/02/1961,,,,,Previous botox at competitor,No,
Michelle,Thomas,Michelle.Thomas+678496@example.com,55625066878,,12/27/1996,,,,,First-time client,No,
Michelle,Wright,Michelle.Wright+999482@example.com,72541472593,,06/05/1989,,,,,Reschedule required,No,
Nancy,Hernandez,Nancy.Hernandez+276740@example.com,24104113439,,08/09/1979,,,,,Gift card recipient,No,
Nancy,Hill,Nancy.Hill+782809@example.com,,,06/09/1976,,,,,Previous botox at competitor,No,
Nancy,Jones,Nancy.Jones+115940@example.com,,,10/28/1983,,,,,Previous botox at competitor,No,
Nancy,Mitchell,Nancy.Mitchell+917069@example.com,95664319133,,01/18/1979,,,,,Prefers afternoon appointments,No,
Nancy,Moore,Nancy.Moore+314845@example.com,51198554659,,05/28/1993,,,,,Reschedule required,No,
Nancy,Rodriguez,Nancy.Rodriguez+834543@example.com,,,07/11/1967,,,,,Needs consultation first,No,
Patricia,Johnson,Patricia.Johnson+711025@example.com,85047759086,,04/17/1967,,,,,Interested in facial treatments,No,
Patricia,Robinson,Patricia.Robinson+842170@example.com,,,03/07/1980,,,,,Allergic to lidocaine,No,
Patricia,Wright,Patricia.Wright+535305@example.com,38527229385,,11/19/1974,,,,,Previous botox at competitor,No,
Paul,Adams,Paul.Adams+114785@example.com,93841214415,,10/20/1978,,,,,Needs consultation first,No,
Paul,Anderson,Paul.Anderson+801802@example.com,,,06/22/1966,,,,,,No,
Paul,Baker,Paul.Baker+182916@example.com,,,08/15/1984,,,,,Sensitive skin,No,
Paul,Hill,Paul.Hill+199231@example.com,,,03/11/1967,,,,,Cancelled last appointment,No,
Paul,Martin,Paul.Martin+440010@example.com,82638662839,,02/24/1965,,,,,Allergic to lidocaine,No,
Paul,Parker,Paul.Parker+289985@example.com,,,05/24/1992,,,,,Reschedule required,No,
Paul,Stewart,Paul.Stewart+137818@example.com,49289946682,,08/21/1961,,,,,Prefers afternoon appointments,No,
Paul,Stewart,Paul.Stewart+341448@example.com,,,10/10/1964,,,,,Interested in membership,No,
Paul,Young,Paul.Young+188785@example.com,98139551407,,11/24/1981,,,,,Referred by friend,No,
Rebecca,Baker,Rebecca.Baker+824948@example.com,,,06/03/1975,,,,,Needs consultation first,No,
Rebecca,Clark,Rebecca.Clark+207251@example.com,,,05/28/1994,,,,,New client - referred by Dr. Johnson,No,
Rebecca,Harris,Rebecca.Harris+644463@example.com,,,05/20/1991,,,,,New client - referred by Dr. Johnson,No,
Rebecca,Jackson,Rebecca.Jackson+432493@example.com,83082309219,,08/09/1984,,,,,Needs consultation first,No,
